domain,label,date,id
yagyckctl.com,dga.ramnit,2016-10-16,2238246

2z2tszukj4.net,dga.shiotob/urlzone/bebloh,2016-10-16,132518

moqnirho.ru,dga.pushdo,,2765679

pkgacsawkwcelkpjtqc.com,dga.ramnit,2016-10-16,1536936

uxu7tp5g2p5j11cugjv1gmg9ol.biz,dga.post,2016-10-18,2034179

budowifu.ru,dga.pushdo,,2655238

bfvxestnessbiophysicalohax.com,dga.banjori,2016-10-16,320355

emfxanerraticallyqozaw.com,dga.banjori,2016-10-16,630565

kucsiyeugeooyesw.org,dga.ramdo,,4139430

committeeshinediffertell.com,dga.matsnu,,3134239

zsozhw.org,dga.conficker,,2666824

1197vxg85tv8f9cdrhhlcdr2.com,dga.post,2016-10-26,6656

kqovenuum.com,dga.conficker,,2411550

xudikon.info,dga.simda,1970-01-01,2222897

hzdtagbk.info,dga.conficker,,2752006

rjkr721jo5ogwm9h0wrucjplp.net,dga.post,2016-10-17,1692019

pfvksemitismgavenuteq.com,dga.banjori,2016-10-16,1521035

gjleybz.com,dga.nymaim,2016-10-30,797538

pdkcererwyatanb.com,dga.banjori,2016-10-16,1510536

belmjxuqlvph.com,dga.tinba,,4289443

iaztnfjmbyvnkwf3sp.cn,dga.rovnix,1970-01-01,932722

13hyizv1srrfd11tiap7jc1v1r3.com,dga.post,2016-10-26,15063

jyqqtdowfgnv.com,dga.tinba,2016-10-16,1072172

myqoeyacqyygesse.org,dga.ramdo,,4136710

dfkkbyplaywobb.com,dga.banjori,2016-10-16,527696

xeomozfe.ru,dga.pushdo,,2448244

wptevnzvl.cc,dga.conficker,,2365588

cxrmomohqruperr.com,dga.murofet,2016-10-16,494434

1g2rc631se5sbc1vcm5ldp0nsfj.com,dga.post,2016-10-26,59076

prveqhxfholvqcqpjt.com,dga.ramnit,2016-10-16,1576580

deyulfgbraf.org,dga.pykspa,2016-10-16,526486

1ptfdye3gdf3c1sere.ru,dga.rovnix,1970-01-01,92605

pricelackbecomeloanvacation.com,dga.matsnu,,2649173

kugwusswmoauswqg.org,dga.ramdo,,4210680

guz5cb1iti1cgyn9gu4183gkly.biz,dga.post,2016-10-19,835528

webofilo.info,dga.simda,1970-01-01,2125776

qedimachuslazaroqok.com,dga.banjori,2016-10-16,1609179

gb49bce33a764a5d31a855fb3b18ab37fb.to,dga.dyre,2016-10-28,774151

ccnjardenslavetusul.com,dga.banjori,2016-10-16,409567

zqtqgtapu.biz,dga.nymaim,2016-10-15,2315773

1euynoj1su5r23xrgw6x1bv8ad2.com,dga.post,2016-10-14,54852

jiskcunyymnw.com,dga.tinba,,4282560

c6aa5f98946974a025937b126bf4f34103.hk,dga.dyre,2016-10-21,389819

iduvmfleasiut.co.uk,dga.cryptolocker,,2373627

yvvscxotjcbbsu.org,dga.qakbot,2016-10-16,2280876

1qcegnnzurtvi1h1ddrjq2cwmg.net,dga.post,2016-10-14,94430

dnnfiygjw.sx,dga.necurs,2016-10-21,552920

1wpuiv5mj20fv6vfig1lzseoy.com,dga.post,2016-10-16,116823

mede5b7192acf7ca59e583a46441f83a71.to,dga.dyre,2016-10-28,1261426

fsanlpiee.su,dga.necurs,2016-10-25,743290

laoeslwgwm.ac,dga.necurs,2016-10-29,1151919

neatajan.ru,dga.pushdo,,2562442

na577wjp8teaqtnl4a.com,dga.rovnix,1970-01-01,1347625

lc4192uafxt8ccvt4d1iz7itv.com,dga.post,2016-10-18,1158374

nhxytolqywkk.com,dga.tinba,,4238696

ecbcamentalistfanchonut.com,dga.banjori,2016-10-16,600002

fbrceatnsnx.com,dga.ramnit,2016-10-16,684532

pbabsagabardinedazyx.com,dga.banjori,2016-10-16,1504597

xqgshtdvyktvwrj.biz,dga.cryptolocker,2016-10-30,2215370

wsmugmicqesuekgc.org,dga.ramdo,,4195269

itqosdmheiew.net,dga.cryptolocker,,2390610

ddqrgxbrltbr.com,dga.tinba,,4246049

tr3uks3l7zkhhnirzh.com,dga.rovnix,1970-01-01,1944928

aipkmachuslazaroqok.com,dga.banjori,2016-10-16,212063

iuyuuueksegsoqgy.org,dga.ramdo,,4199918

wsnkkvsg.org,dga.qakbot,2016-10-18,2167925

goqisozn.ru,dga.pushdo,,2802972

kqbyfordlinnetavox.com,dga.banjori,2016-10-16,1124868

ualjxxacoppq.net,dga.cryptolocker,,2743376

504rkzbsazkk33j1fn2mj5w0.net,dga.post,2016-10-20,147722

lqjk81cgawqlclxr72.com,dga.rovnix,1970-01-01,1207269

graqhpkqftni.com,dga.cryptolocker,,2562609

keowererwyatanb.com,dga.banjori,2016-10-16,1093276

tanufedeo.ddns.net,dga.symmi,2016-12-01,1872940

15e4ohfwc62ng1vzzmmo1bhi9dj.com,dga.post,2016-10-16,21698

kfynhpcfommfyx.co.uk,dga.cryptolocker,,2352970

lordthrew.ru,dga.suppobox,2016-12-08,1201526

5hfnip1ltnjqk8jobcs1faiiyu.com,dga.gameover,2016-12-08,151725

akhaanerraticallyqozaw.com,dga.banjori,2016-10-16,216213

ospnfaidmvrih.biz,dga.cryptolocker,,2424282

gisarxukx.com,dga.ramnit,2016-10-16,795936

ogqysemitismgavenuteq.com,dga.banjori,2016-10-16,1441409

eblyynrywxa.pro,dga.necurs,2016-10-25,598681

umnwenhancedysb.com,dga.banjori,2016-10-16,2005748

zxysancorml.com,dga.banjori,2016-10-16,2325709

muvrmachuslazaroqok.com,dga.banjori,2016-10-16,1329225

njjxobxcwwxc.com,dga.tinba,,4288681

hdpiardenslavetusul.com,dga.banjori,2016-10-16,862029

llizsagabardinedazyx.com,dga.banjori,2016-10-16,1191045

jdzmererwyatanb.com,dga.banjori,2016-10-16,1022407

edpmqjjjdxxc.com,dga.tinba,2016-10-16,606191

hlzvoqjey.net,dga.conficker,,2604725

egprsatformalisticirekb.com,dga.banjori,2016-10-16,614126

myygkmwkkywcgiwe.org,dga.ramdo,,4190216

gavdinalcentricem.com,dga.banjori,2016-10-16,772813

jxqimdebbedd.in,dga.tinba,1970-01-01,1070542

1nyq0fko5a35e127dsbm1d147eg.org,dga.post,2016-10-23,86251

dfpcellefrictionlessv.com,dga.banjori,2016-10-16,528169

jeapeiju.ru,dga.pushdo,,2511006

rtujvinskycattederifg.com,dga.banjori,2016-10-16,1718051

nofjyiyqbjjh.com,dga.tinba,,4310560

llxjrsensinaix.com,dga.banjori,2016-10-16,1192667

zzaeamentalistfanchonut.com,dga.banjori,2016-10-16,2326565

ymaoancorml.com,dga.banjori,2016-10-16,2260177

kloxarc96iklpy08uv1tsh6o2.org,dga.post,2016-10-16,1112417

vohcs61kuii2u671br919zxxe0.net,dga.post,2016-10-18,2082897

1jnwrweq0ipksfggbas1l7r46m.com,dga.post,2016-10-15,71308

oilvoxhrwyyztj.net,dga.murofet,2016-10-17,1444873

zaemzfcfctjlcnqn.net,dga.qakbot,2016-10-29,2289988

odlsle.ws,dga.conficker,,2540876

syporsensinaix.com,dga.banjori,2016-10-16,1863567

owstjvhgyaeqdtehub.com,dga.ramnit,2016-10-16,1486030

antolwg.info,dga.nymaim,2016-10-22,241969

un5iuj1bwmi3g4mn2d81q6igzb.net,dga.post,2016-10-28,2006933

yqcf721120alfsjhjh5u7o5j7.com,dga.post,2016-10-16,2270239

llpsestnessbiophysicalohax.com,dga.banjori,2016-10-16,1191812

lnoqqspxzkslnmz.net,dga.murofet,2016-10-17,1195696

futqqypeqlccgpahr.jp,dga.necurs,2016-10-21,751219

kerypex.info,dga.simda,2016-10-16,1094178

wuagvinskycattederifg.com,dga.banjori,2016-10-16,2170279

mndwnqfqbex.com,dga.pykspa,2016-10-16,1296912

wdw1mthayijcvvnnvo.ru,dga.rovnix,1970-01-01,2122037

7gon85z66kdv1vpugin65uolo.com,dga.post,2016-11-01,163978

ukrbalitydevonianizuwb.com,dga.banjori,2016-10-16,2001273

pvhksatformalisticirekb.com,dga.banjori,2016-10-16,1590118

gifthabitdocumentclaimblue.com,dga.matsnu,,2553063

pwf7oh1pfhncf1jfzown18k9qmu.biz,dga.post,2016-10-30,1592197

k5r8gnbigwq72lhod4.net,dga.rovnix,1970-01-01,1076105

rbmxgwwngfcx.biz,dga.tinba,2016-10-16,1661849

btvzllaabettingk.com,dga.banjori,2016-10-16,372094

ogqiakquociwquwy.org,dga.ramdo,,4193116

m4oe1vpuyq.net,dga.shiotob/urlzone/bebloh,2016-10-16,1230354

bronidablyhoosieraw.com,dga.banjori,2016-10-16,366223

minutebankliveconcernattract.com,dga.matsnu,,2666676

swmnpfaeibtlyqgsi.com,dga.ramnit,2016-10-16,1859002

ookoepictom.com,dga.banjori,2016-10-16,1462382

bcvuveurolxo.com,dga.tinba,,4242426

lfkcsnfttcnu.biz,dga.tinba,2016-10-16,1171227

qqibbbbrbkdk.com,dga.tinba,2016-10-16,1631912

1d4r6ymrmg9ypcw5rf3kan47e.org,dga.post,2016-10-18,48968

dpqyestnessbiophysicalohax.com,dga.banjori,2016-10-16,564384

modkanerraticallyqozaw.com,dga.banjori,2016-10-16,1301176

wqmtppjxijmlde.org,dga.cryptolocker,,2594777

pkjbshjnjbkx.bid,dga.tinba,2016-10-16,1537047

axatedkrjkwenx.info,dga.cryptolocker,,2570268

hhmpanerraticallyqozaw.com,dga.banjori,2016-10-16,875479

vjkfoovvpr1clr04g71ptz04v.net,dga.post,2016-10-14,2072508

ruxfrnxxonguvq.ru,dga.cryptolocker,,2524873

ppmludrkipeq.ru,dga.tinba,2016-10-16,1560430

uovvellefrictionlessv.com,dga.banjori,2016-10-16,2014496

bnkcmdgyxlvq.com,dga.tinba,,4282420

ebsclcbcpogfmw.eu,dga.necurs,2016-10-16,599287

wpxush.com,dga.virut,2016-10-29,2162871

qhihtheacypvanfsx.com,dga.ramnit,2016-10-16,1616430

wdxlhxbcmgb.so,dga.necurs,2016-12-08,2122088

mistakenotebesticktellcow.com,dga.matsnu,,2570665

lwumhrbnqdrmmpa.com,dga.ramnit,2016-10-16,1220782

lykytaj.info,dga.simda,2016-10-16,1224665

jdhzorcajanunal.com,dga.banjori,2016-10-16,1020721

wsckkiesomqyesau.org,dga.ramdo,,4146673

xytniqrgslntvlwpi.info,dga.qakbot,2016-10-16,2232883

mmlvokqxxcrmjodz.net,dga.qakbot,2016-10-16,1295031

unbeqyvisk.com,dga.ramnit,2016-10-16,2007151

thnhalitydevonianizuwb.com,dga.banjori,2016-10-16,1912774

exchangeblacklaughclubchange.com,dga.matsnu,,2444150

gcdbsikathrinezad.com,dga.banjori,2016-10-16,775638

siekalitydevonianizuwb.com,dga.banjori,2016-10-16,1784690

xsqdtsmnprrppy.com,dga.murofet,2016-10-17,2219116

vnqnardenslavetusul.com,dga.banjori,2016-10-16,2080666

1064kvd122x8ze1n9d0q41qnjpa2.com,dga.post,2016-10-15,2507

xtqppartbulkyf.com,dga.banjori,2016-10-16,2221242

auzjiologistbikerepil.com,dga.banjori,2016-10-16,275603

ogaasagabardinedazyx.com,dga.banjori,2016-10-16,1439774

ilrpkrwmflolwofv.com,dga.ramnit,2016-10-16,958810

kafxajiw.ru,dga.pushdo,,2430223

wwubfmmxlyidqhhljgb.com,dga.ramnit,2016-10-16,2175737

qslvrqqzjbkj.net,dga.pykspa,2016-10-25,1636069

ggbolgjruf.com,dga.ramnit,2016-10-16,788422

1eoetscdzynrx7kk8ix1qzn13y.org,dga.gameover,2016-12-08,54235

geqbplefrostbitecycz.com,dga.banjori,2016-10-16,783469

vm4akchipyzb8u66zx17dtlgo.com,dga.post,2016-11-01,2077684

wopzw1qihtrl1o2upv81lqfe72.net,dga.post,2016-10-15,2157320

vlihellefrictionlessv.com,dga.banjori,2016-10-16,2075974

vuvrizpu.dynserv.com,dga.kraken,2016-10-22,2098694

zveirasildeafeninguvuc.com,dga.banjori,2016-10-16,2321999

wokacead.ru,dga.pushdo,,2810212

oyfzinalcentricem.com,dga.banjori,2016-10-16,1488514

kuqkcugmseqwksqg.org,dga.ramdo,,4127120

qxtgwpwrrirpgrqb.net,dga.murofet,2016-10-30,1647605

fingerbuildingsurpriseswim.com,dga.matsnu,,2490723

sfd66zu1wsnw6peg47.net,dga.rovnix,1970-01-01,1770991

eidjsikathrinezad.com,dga.banjori,2016-10-16,616883

ldjopguuylwrc.biz,dga.qakbot,2016-10-16,1160634

skirtadmireshowerdrafteven.com,dga.matsnu,,2537046

iqguwmiwsmawceoc.org,dga.ramdo,2016-10-16,984926

blpnwzdvjnmpiiut.info,dga.murofet,2016-10-21,342516

mzvailb.ws,dga.conficker,,3119570

rjeyfordlinnetavox.com,dga.banjori,2016-10-16,1691450

dycjosak.cm,dga.necurs,2016-10-17,585744

aeeyseyaqqoymsec.org,dga.ramdo,,4198624

partnerriskenhancecompany.com,dga.matsnu,,2446394

hyvagejgqp.com,dga.ramnit,2016-10-16,924975

onspojpygfurbuq.info,dga.cryptolocker,,2667402

prjwanerraticallyqozaw.com,dga.banjori,2016-10-16,1569543

iynuardenslavetusul.com,dga.banjori,2016-10-16,1006527

znqnwnepqjhvlwhq.info,dga.murofet,2016-10-27,2310948

araewiabta.com,dga.ramnit,2016-10-16,252964

rfyegbooogao.com,dga.ramnit,2016-10-16,1683294

pjhavohwkoohvqz.biz,dga.murofet,2016-10-24,1534867

mukqiologistbikerepil.com,dga.banjori,2016-10-16,1324909

knoqfiirbbii.com,dga.tinba,,4244962

ccboepictom.com,dga.banjori,2016-10-16,408112

yqigiologistbikerepil.com,dga.banjori,2016-10-16,2270762

mciqesoqiqwqyawc.org,dga.ramdo,,4197935

rpvobyplaywobb.com,dga.banjori,2016-10-16,1709707

frqelgfehlmpmpro.net,dga.murofet,2016-10-17,742081

gmwacqscgacuqwyu.org,dga.ramdo,,4204325

nsdgwmutihlx.biz,dga.tinba,2016-10-16,1407350

jdaavrfk.com,dga.ramnit,2016-10-16,1019927

33o58kz35i7qtcvlmk.biz,dga.rovnix,1970-01-01,133670

qpbtetvtdhsvhjmdcao.com,dga.ramnit,2016-10-16,1629942

bzgiqsdqhvu.com,dga.shiotob/urlzone/bebloh,2016-10-16,386707

1y7ncx7din2yagbwdg5je39fs.biz,dga.post,2016-10-16,121806

iqugcnoolhhntup.com,dga.ramnit,2016-10-16,986349

emkgawckoccyooww.org,dga.ramdo,,4174068

msjlinalcentricem.com,dga.banjori,2016-10-16,1319750

championcommentrevealpick.com,dga.matsnu,,2722173

iffofbgio.com,dga.ramnit,2016-10-16,944475

awsuererwyatanb.com,dga.banjori,2016-10-16,280491

xleebjclxdqjuh.com,dga.ramnit,2016-10-16,2203102

hrgocvxxxtsh.biz,dga.tinba,2016-10-16,906957

ugjlsagabardinedazyx.com,dga.banjori,2016-10-16,1993441

kkkwdltuekch.com,dga.tinba,,4268631

o6834222ef079c07db816ccc250b6f4ba1.hk,dga.dyre,2016-10-23,1425535

knowover.net,dga.suppobox,2016-10-24,1116496

aemjya.com,dga.virut,2016-10-26,200756

kyouueegkygsugmg.org,dga.ramdo,,4158763

tvfwjroavuberib.info,dga.cryptolocker,,2540041

catatoka.ru,dga.pushdo,,2731367

ecujwybgessrjt.im,dga.necurs,2016-10-21,603518

iqlpwjjv.com,dga.ramnit,2016-10-16,985433

uhhyvcvcixlukgte.org,dga.murofet,2016-10-26,1995254

wgtc0w14tkden1dl5q19yx9nh9.net,dga.post,2016-10-23,2135835

9gme1j619k671dy3mva1a2rvqr.com,dga.post,2016-10-28,176000

pieapplyappropriatesailrelate.com,dga.matsnu,,2375305

kuqyellefrictionlessv.com,dga.banjori,2016-10-16,1135603

vutqzt1wue8f42p9swbemqa2o.net,dga.post,2016-10-30,2098591

llswkvweiyee.com,dga.tinba,,4286860

tugjijup.ru,dga.pushdo,,2583638

1h1iv0tmfx6yw1v2u94obl3uem.com,dga.post,2016-10-14,62448

ywwgoeqoogqgqwqw.org,dga.ramdo,,4216640

mlkdbnwxz.info,dga.nymaim,2016-10-30,1292777

ggasidablyhoosieraw.com,dga.banjori,2016-10-16,788341

ouincfxfytjmsb.com,dga.ramnit,2016-10-16,1480133

fecjmydskgeb.com,dga.tinba,,4284371

15x6dbr2uzjjbxsp4zo1j1mdye.org,dga.post,2016-10-23,23550

backcrashtrustcombinefirm.com,dga.matsnu,,2548261

qdnnk.net,dga.conficker,,2442725

bqonkeccpx.com,dga.ramnit,2016-10-16,360392

foqgxvfoajuk.biz,dga.cryptolocker,,2533967

eovoamentalistfanchonut.com,dga.banjori,2016-10-16,640335

aamomsacagwseswo.org,dga.ramdo,,4130774

oodysemitismgavenuteq.com,dga.banjori,2016-10-16,1461694

nwbbrkasf.tj,dga.necurs,2016-10-29,1416899

llvlardenslavetusul.com,dga.banjori,2016-10-16,1192467

pflcdxorheodr.cm,dga.necurs,2016-10-21,1520035

dakldb.com,dga.virut,2016-10-15,503631

4pkq513heu5f1ki4drm1fv0qcr.org,dga.post,2016-10-16,145604

zum0q1yv4s7k8l50n21v9wdys.biz,dga.post,2016-11-01,2320900

somvowbwgrsr.com,dga.ramnit,2016-10-16,1814724

qircupre.ru,dga.pushdo,,2683072

doorradiosufferbecomephase.com,dga.matsnu,,2546694

njpnvdimvgdpvcgewniyg.ir,dga.necurs,2016-10-21,1384290

2y284o1qhbtto1jvp5kh1cxzqer.net,dga.post,2016-11-02,132366

pcccdefgjuvm.cc,dga.tinba,2016-10-16,1507630

slfeflmksoij.pw,dga.tinba,2016-10-16,1799764

iyjmepictom.com,dga.banjori,2016-10-16,1006119

jbiqepictom.com,dga.banjori,2016-10-16,1016604

rxsgmen.com,dga.banjori,1970-01-01,1727845

1cp55z983f4l2szuyrv1a0b09a.net,dga.post,2016-10-29,47514

syaovqdnr.us,dga.necurs,2016-10-25,1861533

wssgqswcsmqyacia.org,dga.ramdo,,4184175

wwyukaksiwcyckse.org,dga.ramdo,,4146990

ardh5c3jj4soprge6e.net,dga.rovnix,1970-01-01,254370

xhostt.com,dga.virut,2016-12-08,2196538

cggoalitydevonianizuwb.com,dga.banjori,2016-10-16,420209

thrbalitydevonianizuwb.com,dga.banjori,2016-10-16,1913663

iuqriyyiiquo.com,dga.tinba,,4296988

yyxxmnfmmmdo.biz,dga.tinba,2016-10-16,2286715

3fd58r1dg92011bu4r0w102jvle.com,dga.post,2016-10-29,136721

1o68v267b4fcb159cno2to5zvw.org,dga.post,2016-10-26,86946

rllaalitydevonianizuwb.com,dga.banjori,2016-10-16,1695751

weekendreservepagecondition.com,dga.matsnu,,2622150

xjnopeqnutqk.cc,dga.tinba,2016-10-16,2200601

ucimsemitismgavenuteq.com,dga.banjori,2016-10-16,1985763

eivzvinskycattederifg.com,dga.banjori,2016-10-16,618954

gmygkkwmkomwokos.org,dga.ramdo,,4126526

pbpaalitydevonianizuwb.com,dga.banjori,2016-10-16,1506130

ugbciologistbikerepil.com,dga.banjori,2016-10-16,1992678

suxosoje.ru,dga.pushdo,,2458240

ktzxwuwnwlxvprbm.info,dga.murofet,2016-10-20,1132826

ifrfqrfw.biz,dga.qakbot,2016-10-16,945216

jvooggophxgc.xyz,dga.tinba,2016-10-16,1066915

govikigu.ru,dga.pushdo,,2544993

ccljvinskycattederifg.com,dga.banjori,2016-10-16,409344

iqqosmmsyeomkiws.org,dga.ramdo,,4152145

cswnjolddgsc.com,dga.tinba,,4290828

15uudjz2yy2lgdsyzj536bznm.org,dga.gameover,2016-12-08,23300

uwyxknnwggspmyxv.biz,dga.murofet,2016-10-24,2033299

hakbloeaokbpnu.info,dga.cryptolocker,,2770247

syvrmachuslazaroqok.com,dga.banjori,2016-10-16,1864459

inuwqmoi.com,dga.ramnit,2016-10-16,978001

nglkchntqvwt.com,dga.tinba,,4269683

thtzancorml.com,dga.banjori,2016-10-16,1914395

ynnwquaqarj.com,dga.ramnit,2016-10-16,2262965

zvmellaabettingk.com,dga.banjori,2016-10-16,2322559

1la226obh8fgm1ji7gd0hz5851.org,dga.post,2016-10-19,76850

reqnnijdwk.com,dga.ramnit,2016-10-16,1676956

jxrjestnessbiophysicalohax.com,dga.banjori,2016-10-16,1070661

iyjwwsctkdsb.xyz,dga.tinba,2016-10-16,1006178

koqripei.ru,dga.pushdo,,2578911

uousccsgymciwcsy.org,dga.ramdo,,4142320

skcuyyaaakyikywo.org,dga.ramdo,,4175423

fjwawegpdfpepypqqesee.pw,dga.necurs,2016-12-08,710533

wogkllaabettingk.com,dga.banjori,2016-10-16,2154914

wunliologistbikerepil.com,dga.banjori,2016-10-16,2171535

gnneuklpiyin.com,dga.tinba,2016-10-16,806667

swupthoodivettewl.com,dga.banjori,1970-01-01,1859939

tvnwhopebixmfo.cc,dga.ranbyus,2016-10-18,1969018

onccsmbgqxargowepd.com,dga.ramnit,2016-10-16,1456140

teacherattractweighremain.com,dga.matsnu,,3127466

jvnzpartbulkyf.com,dga.banjori,2016-10-16,1066854

wwoaardenslavetusul.com,dga.banjori,2016-10-16,2175154

1p9n2zhrtibtuschdas1toajq3.biz,dga.post,2016-10-14,90620

anubpgffryjwlsugtnw.pro,dga.necurs,2016-10-25,242171

ppctuuejghqo.ru,dga.tinba,1970-01-01,1559337

historyattachsplitbendcoast.com,dga.matsnu,,2521955

d11d5574cb4378f68d02cbfad31780af36.ws,dga.dyre,2016-10-29,498785

ftctancorml.com,dga.banjori,2016-10-16,744775

ywihtwfpwu.com,dga.ramnit,2016-10-16,2281754

sm2vp6xzrrejhkqdoy.cn,dga.rovnix,1970-01-01,1801503

jzpranerraticallyqozaw.com,dga.banjori,2016-10-16,1073717

documentstuffgardennumber.com,dga.matsnu,,2757385

kihilliw.ru,dga.pushdo,,2469288

evcxgstqxcck.me.uk,dga.tinba,1970-01-01,660066

prvytatq.net,dga.conficker,,2358455

hbsebyplaywobb.com,dga.banjori,2016-10-16,857773

dvbesikathrinezad.com,dga.banjori,2016-10-16,579566

diyjhzg.cn,dga.conficker,,2487354

mozneahu.ru,dga.pushdo,,2769355

pzcorkylkwtpjrioqbvzsi.info,dga.qakbot,2016-10-18,1597615

qkxgfnkir.dynserv.com,dga.kraken,2016-10-16,1622889

hewhcxulcqktdod.ru,dga.cryptolocker,,2379376

1isbm4k1fzm9x3161utw83tm0p1.org,dga.gameover,2016-12-08,68298

vahcmxphs.com,dga.ramnit,2016-10-16,2040281

eiqimywykiiyceyi.org,dga.ramdo,,4217347

1cx50eq16a64h3sy86n81lmlpm6.net,dga.post,2016-10-17,48259

haqoul1yffg2c1s6rp86ic4dka.org,dga.gameover,2016-12-08,852618

eigcgsoiiyqycqyk.org,dga.ramdo,,4212812

1wl7gful042e21p44mmln6by8j.org,dga.post,2016-10-25,116385

nudlshdwjjkevrcwg.im,dga.necurs,2016-10-17,1411974

1d30uib1hix521dt2y3p1yabf0e.net,dga.post,2016-10-31,48808

2tbypqqqvbt18pplwt116cyc4.com,dga.post,2016-10-22,131549

hde1twetf4oi1sj90ja1pey4of.org,dga.post,2016-10-28,860642

oiyndulcfcmncs.org,dga.qakbot,2016-10-16,1446039

uitvclkn.org,dga.nymaim,2016-10-25,1997889

audprasildeafeninguvuc.com,dga.banjori,2016-10-16,270319

hwgqktjhvtquanqblqyottbvb.info,dga.qakbot,2016-10-29,919564

nfazijuvprq.biz,dga.conficker,,3112815

